bytes,percentage,filenames,linenumbers
16064,98.43,/home/baffier/.julia/packages/PatternFolds/GVSfW/src/vector.jl,87
160,0.98,/home/baffier/.julia/packages/PatternFolds/GVSfW/src/vector.jl,19
48,0.29,/home/baffier/.julia/packages/PatternFolds/GVSfW/src/intervals.jl,32
48,0.29,/home/baffier/.julia/packages/PatternFolds/GVSfW/src/common.jl,100
