bytes,percentage,filenames,linenumbers
71904,81.49,/Users/baffier/.julia/packages/PatternFolds/v89uX/src/vector.jl,77
16064,18.2,/Users/baffier/.julia/packages/PatternFolds/v89uX/src/vector.jl,84
160,0.18,/Users/baffier/.julia/packages/PatternFolds/v89uX/src/vector.jl,19
64,0.07,/Users/baffier/.julia/packages/PatternFolds/v89uX/src/intervals.jl,62
48,0.05,/Users/baffier/.julia/packages/PatternFolds/v89uX/src/vector.jl,13
