times,gctimes,memory,allocs
148996.0,0.0,136912,35
167865.0,0.0,136912,35
178894.0,0.0,136912,35
159347.0,0.0,136912,35
120639.0,0.0,136912,35
130612.0,0.0,136912,35
144338.0,0.0,136912,35
117042.0,0.0,136912,35
124969.0,0.0,136912,35
144914.0,0.0,136912,35
128042.0,0.0,136912,35
140784.0,0.0,136912,35
145209.0,0.0,136912,35
145427.0,0.0,136912,35
142857.0,0.0,136912,35
137369.0,0.0,136912,35
133393.0,0.0,136912,35
125438.0,0.0,136912,35
122854.0,0.0,136912,35
135941.0,0.0,136912,35
111229.0,0.0,136912,35
123528.0,0.0,136912,35
128626.0,0.0,136912,35
132102.0,0.0,136912,35
166710.0,0.0,136912,35
154786.0,0.0,136912,35
155433.0,0.0,136912,35
168176.0,0.0,136912,35
170629.0,0.0,136912,35
155464.0,0.0,136912,35
173250.0,0.0,136912,35
177973.0,0.0,136912,35
133471.0,0.0,136912,35
142731.0,0.0,136912,35
129712.0,0.0,136912,35
143396.0,0.0,136912,35
148246.0,0.0,136912,35
130180.0,0.0,136912,35
126287.0,0.0,136912,35
143166.0,0.0,136912,35
153936.0,0.0,136912,35
151941.0,0.0,136912,35
132946.0,0.0,136912,35
140631.0,0.0,136912,35
130365.0,0.0,136912,35
128972.0,0.0,136912,35
131664.0,0.0,136912,35
140626.0,0.0,136912,35
148172.0,0.0,136912,35
141430.0,0.0,136912,35
140086.0,0.0,136912,35
180687.0,0.0,136912,35
170780.0,0.0,136912,35
164743.0,0.0,136912,35
173662.0,0.0,136912,35
167707.0,0.0,136912,35
174485.0,0.0,136912,35
182739.0,0.0,136912,35
146654.0,0.0,136912,35
138545.0,0.0,136912,35
119321.0,0.0,136912,35
144888.0,0.0,136912,35
143539.0,0.0,136912,35
144298.0,0.0,136912,35
147545.0,0.0,136912,35
150861.0,0.0,136912,35
148942.0,0.0,136912,35
143277.0,0.0,136912,35
148214.0,0.0,136912,35
101947.0,0.0,136912,35
142484.0,0.0,136912,35
133755.0,0.0,136912,35
126067.0,0.0,136912,35
118215.0,0.0,136912,35
148962.0,0.0,136912,35
148916.0,0.0,136912,35
147943.0,0.0,136912,35
141709.0,0.0,136912,35
191139.0,0.0,136912,35
175225.0,0.0,136912,35
170423.0,0.0,136912,35
168001.0,0.0,136912,35
177886.0,0.0,136912,35
178559.0,0.0,136912,35
175766.0,0.0,136912,35
135482.0,0.0,136912,35
100110.0,0.0,136912,35
94540.0,0.0,136912,35
134420.0,0.0,136912,35
150632.0,0.0,136912,35
143693.0,0.0,136912,35
146247.0,0.0,136912,35
141917.0,0.0,136912,35
143375.0,0.0,136912,35
144682.0,0.0,136912,35
145960.0,0.0,136912,35
146973.0,0.0,136912,35
146743.0,0.0,136912,35
144274.0,0.0,136912,35
143254.0,0.0,136912,35
149967.0,0.0,136912,35
144673.0,0.0,136912,35
141597.0,0.0,136912,35
146644.0,0.0,136912,35
176348.0,0.0,136912,35
170776.0,0.0,136912,35
171098.0,0.0,136912,35
170231.0,0.0,136912,35
176891.0,0.0,136912,35
171888.0,0.0,136912,35
167503.0,0.0,136912,35
176211.0,0.0,136912,35
156764.0,0.0,136912,35
141544.0,0.0,136912,35
152656.0,0.0,136912,35
146757.0,0.0,136912,35
147498.0,0.0,136912,35
152001.0,0.0,136912,35
145730.0,0.0,136912,35
145549.0,0.0,136912,35
151882.0,0.0,136912,35
145512.0,0.0,136912,35
150941.0,0.0,136912,35
153730.0,0.0,136912,35
178534.0,0.0,136912,35
180300.0,0.0,136912,35
176781.0,0.0,136912,35
174678.0,0.0,136912,35
182270.0,0.0,136912,35
218643.0,0.0,136912,35
201093.0,0.0,136912,35
205882.0,0.0,136912,35
202773.0,0.0,136912,35
202892.0,0.0,136912,35
209104.0,0.0,136912,35
173881.0,0.0,136912,35
177985.0,0.0,136912,35
175780.0,0.0,136912,35
175047.0,0.0,136912,35
175678.0,0.0,136912,35
175329.0,0.0,136912,35
173866.0,0.0,136912,35
174741.0,0.0,136912,35
176359.0,0.0,136912,35
176668.0,0.0,136912,35
175709.0,0.0,136912,35
175629.0,0.0,136912,35
176597.0,0.0,136912,35
172665.0,0.0,136912,35
176395.0,0.0,136912,35
213082.0,0.0,136912,35
198120.0,0.0,136912,35
205510.0,0.0,136912,35
202493.0,0.0,136912,35
204953.0,0.0,136912,35
224195.0,0.0,136912,35
170415.0,0.0,136912,35
172822.0,0.0,136912,35
173647.0,0.0,136912,35
172429.0,0.0,136912,35
178122.0,0.0,136912,35
170741.0,0.0,136912,35
170988.0,0.0,136912,35
179681.0,0.0,136912,35
177248.0,0.0,136912,35
180219.0,0.0,136912,35
170299.0,0.0,136912,35
177269.0,0.0,136912,35
172762.0,0.0,136912,35
178352.0,0.0,136912,35
173275.0,0.0,136912,35
185387.0,0.0,136912,35
217778.0,0.0,136912,35
206900.0,0.0,136912,35
200678.0,0.0,136912,35
208046.0,0.0,136912,35
201476.0,0.0,136912,35
210121.0,0.0,136912,35
169901.0,0.0,136912,35
184414.0,0.0,136912,35
168683.0,0.0,136912,35
178624.0,0.0,136912,35
171755.0,0.0,136912,35
180730.0,0.0,136912,35
174530.0,0.0,136912,35
177581.0,0.0,136912,35
169407.0,0.0,136912,35
181490.0,0.0,136912,35
170268.0,0.0,136912,35
177729.0,0.0,136912,35
174680.0,0.0,136912,35
179552.0,0.0,136912,35
174407.0,0.0,136912,35
214758.0,0.0,136912,35
198107.0,0.0,136912,35
215412.0,0.0,136912,35
202930.0,0.0,136912,35
206509.0,0.0,136912,35
219300.0,0.0,136912,35
180332.0,0.0,136912,35
172179.0,0.0,136912,35
179640.0,0.0,136912,35
167216.0,0.0,136912,35
179223.0,0.0,136912,35
168570.0,0.0,136912,35
174365.0,0.0,136912,35
170386.0,0.0,136912,35
176476.0,0.0,136912,35
170699.0,0.0,136912,35
179729.0,0.0,136912,35
169334.0,0.0,136912,35
180053.0,0.0,136912,35
172119.0,0.0,136912,35
178473.0,0.0,136912,35
193135.0,0.0,136912,35
208643.0,0.0,136912,35
200119.0,0.0,136912,35
208063.0,0.0,136912,35
197120.0,0.0,136912,35
212256.0,0.0,136912,35
199117.0,0.0,136912,35
180643.0,0.0,136912,35
175730.0,0.0,136912,35
181156.0,0.0,136912,35
172216.0,0.0,136912,35
178834.0,0.0,136912,35
170820.0,0.0,136912,35
184724.0,0.0,136912,35
173118.0,0.0,136912,35
180775.0,0.0,136912,35
176015.0,0.0,136912,35
178895.0,0.0,136912,35
175250.0,0.0,136912,35
179138.0,0.0,136912,35
