bytes,percentage,filenames,linenumbers
71632,81.43,/Users/baffier/.julia/packages/PatternFolds/i8she/src/vector.jl,77
16064,18.26,/Users/baffier/.julia/packages/PatternFolds/i8she/src/vector.jl,84
160,0.18,/Users/baffier/.julia/packages/PatternFolds/i8she/src/vector.jl,19
64,0.07,/Users/baffier/.julia/packages/PatternFolds/i8she/src/intervals.jl,46
48,0.05,/Users/baffier/.julia/packages/PatternFolds/i8she/src/vector.jl,13
