times,gctimes,bytes,allocs
7.2e-5,0.0,212992.0,782.0
5.8041e-5,0.0,212832.0,772.0
5.8041e-5,0.0,212848.0,773.0
6.4917e-5,0.0,213088.0,788.0
6.6958e-5,0.0,213056.0,786.0
6.7333e-5,0.0,213200.0,795.0
6.4125e-5,0.0,213424.0,809.0
6.979100000000001e-5,0.0,213040.0,785.0
6.6709e-5,0.0,213408.0,808.0
6.7458e-5,0.0,213008.0,783.0
6.916700000000001e-5,0.0,212992.0,782.0
6.695900000000001e-5,0.0,213008.0,783.0
7.8125e-5,0.0,213008.0,783.0
6.7834e-5,0.0,213088.0,788.0
6.629200000000001e-5,0.0,212896.0,776.0
6.575e-5,0.0,213184.0,794.0
7.525e-5,0.0,213088.0,788.0
6.5375e-5,0.0,212832.0,772.0
6.658300000000001e-5,0.0,213216.0,796.0
6.55e-5,0.0,213024.0,784.0
6.400000000000001e-5,0.0,212816.0,771.0
6.5833e-5,0.0,213008.0,783.0
6.495800000000001e-5,0.0,213056.0,786.0
6.55e-5,0.0,212544.0,754.0
6.5209e-5,0.0,212928.0,778.0
6.475e-5,0.0,212864.0,774.0
6.483300000000001e-5,0.0,213136.0,791.0
6.6e-5,0.0,213024.0,784.0
6.483300000000001e-5,0.0,212784.0,769.0
7.425e-5,0.0,213392.0,807.0
5.9084000000000006e-5,0.0,213408.0,808.0
6.1667e-5,0.0,213120.0,790.0
6.0833000000000005e-5,0.0,213056.0,786.0
6.1417e-5,0.0,213008.0,783.0
6.1667e-5,0.0,212640.0,760.0
6.2667e-5,0.0,212800.0,770.0
6.804100000000001e-5,0.0,213168.0,793.0
6.375e-5,0.0,212720.0,765.0
6.308400000000001e-5,0.0,213072.0,787.0
6.3166e-5,0.0,213264.0,799.0
6.995800000000001e-5,0.0,213344.0,804.0
6.304200000000001e-5,0.0,212928.0,778.0
6.195900000000001e-5,0.0,212848.0,773.0
6.3167e-5,0.0,212880.0,775.0
6.3166e-5,0.0,213232.0,797.0
6.425e-5,0.0,213024.0,784.0
7.400000000000001e-5,0.0,213200.0,795.0
6.5459e-5,0.0,213296.0,801.0
6.5375e-5,0.0,213008.0,783.0
6.5042e-5,0.0,213216.0,796.0
6.691700000000001e-5,0.0,212864.0,774.0
6.387500000000001e-5,0.0,213120.0,790.0
6.4125e-5,0.0,212864.0,774.0
6.4458e-5,0.0,213440.0,810.0
6.4583e-5,0.0,213488.0,813.0
6.4041e-5,0.0,213232.0,797.0
6.4375e-5,0.0,213040.0,785.0
6.4167e-5,0.0,213024.0,784.0
6.5125e-5,0.0,212768.0,768.0
6.6209e-5,0.0,213280.0,800.0
6.8583e-5,0.0,213008.0,783.0
6.4709e-5,0.0,213344.0,804.0
6.4417e-5,0.0,213664.0,824.0
7.400000000000001e-5,0.0,212720.0,765.0
6.6375e-5,0.0,213056.0,786.0
6.6208e-5,0.0,213328.0,803.0
6.495800000000001e-5,0.0,213200.0,795.0
6.450000000000001e-5,0.0,213120.0,790.0
6.6958e-5,0.0,213168.0,793.0
6.5708e-5,0.0,213008.0,783.0
6.8917e-5,0.0,212912.0,777.0
6.583400000000001e-5,0.0,212464.0,749.0
6.8916e-5,0.0,212720.0,765.0
6.5208e-5,0.0,212912.0,777.0
6.4708e-5,0.0,212848.0,773.0
6.4875e-5,0.0,213088.0,788.0
6.5375e-5,0.0,213216.0,796.0
7.4917e-5,0.0,213264.0,799.0
6.612500000000001e-5,0.0,213104.0,789.0
6.875e-5,0.0,212960.0,780.0
6.5917e-5,0.0,213056.0,786.0
7.4041e-5,0.0,213360.0,805.0
6.55e-5,0.0,212688.0,763.0
6.5041e-5,0.0,212928.0,778.0
6.495800000000001e-5,0.0,212864.0,774.0
6.4916e-5,0.0,212976.0,781.0
6.5208e-5,0.0,212768.0,768.0
6.4583e-5,0.0,213024.0,784.0
6.7292e-5,0.0,213328.0,803.0
