bytes,percentage,filenames,linenumbers
24576,98.46,/Users/baffier/.julia/packages/ConstraintDomains/Dio5I/src/explore.jl,43
112,0.45,/Users/baffier/.julia/packages/ConstraintDomains/Dio5I/src/explore.jl,41
80,0.32,/Users/baffier/.julia/packages/ConstraintDomains/Dio5I/src/explore.jl,73
80,0.32,/Users/baffier/.julia/packages/ConstraintDomains/Dio5I/src/explore.jl,37
80,0.32,/Users/baffier/.julia/packages/ConstraintDomains/Dio5I/src/explore.jl,36
32,0.13,/Users/baffier/.julia/packages/ConstraintDomains/Dio5I/src/explore.jl,51
