bytes,percentage,filenames,linenumbers
80,41.67,C:\Users\jeanf\.julia\packages\ConstraintDomains\aeMYB\src\explore.jl,20
80,41.67,C:\Users\jeanf\.julia\packages\ConstraintDomains\aeMYB\src\explore.jl,19
32,16.67,C:\Users\jeanf\.julia\packages\ConstraintDomains\aeMYB\src\explore.jl,63
