times,gctimes,memory,allocs
2350.0,0.0,1312,25
1720.0,0.0,1312,25
760.0,0.0,1312,25
650.0,0.0,1312,25
720.0,0.0,1312,25
650.0,0.0,1312,25
640.0,0.0,1312,25
690.0,0.0,1312,25
690.0,0.0,1312,25
630.0,0.0,1312,25
