bytes,percentage,filenames,linenumbers
24576,98.34,C:\Users\jeanf\.julia\packages\ConstraintDomains\aeMYB\src\explore.jl,39
112,0.45,C:\Users\jeanf\.julia\packages\ConstraintDomains\aeMYB\src\explore.jl,37
80,0.32,C:\Users\jeanf\.julia\packages\ConstraintDomains\aeMYB\src\explore.jl,70
80,0.32,C:\Users\jeanf\.julia\packages\ConstraintDomains\aeMYB\src\explore.jl,35
80,0.32,C:\Users\jeanf\.julia\packages\ConstraintDomains\aeMYB\src\explore.jl,34
32,0.13,C:\Users\jeanf\.julia\packages\ConstraintDomains\aeMYB\src\explore.jl,63
32,0.13,C:\Users\jeanf\.julia\packages\ConstraintDomains\aeMYB\src\explore.jl,47
