times,gctimes,memory,allocs
8.7,0.0,0,0
28.3,0.0,0,0
4.9,0.0,0,0
4.0,0.0,0,0
4.0,0.0,0,0
3.8,0.0,0,0
4.0,0.0,0,0
3.9,0.0,0,0
3.9,0.0,0,0
3.8,0.0,0,0
