bytes,percentage,filenames,linenumbers
24576,98.34,C:\Users\jeanf\.julia\packages\ConstraintDomains\H64cb\src\explore.jl,63
112,0.45,C:\Users\jeanf\.julia\packages\ConstraintDomains\H64cb\src\explore.jl,61
80,0.32,C:\Users\jeanf\.julia\packages\ConstraintDomains\H64cb\src\explore.jl,90
80,0.32,C:\Users\jeanf\.julia\packages\ConstraintDomains\H64cb\src\explore.jl,59
80,0.32,C:\Users\jeanf\.julia\packages\ConstraintDomains\H64cb\src\explore.jl,58
32,0.13,C:\Users\jeanf\.julia\packages\ConstraintDomains\H64cb\src\explore.jl,88
32,0.13,C:\Users\jeanf\.julia\packages\ConstraintDomains\H64cb\src\explore.jl,71
