bytes,percentage,filenames,linenumbers
24576,98.46,C:\Users\jeanf\.julia\packages\ConstraintDomains\cK5gl\src\explore.jl,43
112,0.45,C:\Users\jeanf\.julia\packages\ConstraintDomains\cK5gl\src\explore.jl,41
80,0.32,C:\Users\jeanf\.julia\packages\ConstraintDomains\cK5gl\src\explore.jl,73
80,0.32,C:\Users\jeanf\.julia\packages\ConstraintDomains\cK5gl\src\explore.jl,37
80,0.32,C:\Users\jeanf\.julia\packages\ConstraintDomains\cK5gl\src\explore.jl,36
32,0.13,C:\Users\jeanf\.julia\packages\ConstraintDomains\cK5gl\src\explore.jl,51
